ocel_id;ocel_time;rain condition
enter_tr9_Pcp23;2024-05-12 11:43:43;No Rain
enter_tr16_Pcp117;2024-05-12 12:18:09;No Rain
enter_tr5_Pcp453;2024-05-12 12:27:21;No Rain
enter_tr48_Pcp294;2024-05-12 14:49:02;No Rain
enter_tr34_Pcp211;2024-05-12 15:04:45;No Rain
enter_tr41_Pcp284;2024-05-12 15:13:15;No Rain
enter_tr50_Pcp72;2024-05-12 16:04:35;No Rain
enter_tr2_Pcp179;2024-05-12 16:23:19;No Rain
enter_tr22_Pcp395;2024-05-12 17:26:24;No Rain
enter_tr13_Pcp25;2024-05-12 17:28:25;No Rain
enter_tr47_Pcp367;2024-05-12 17:28:44;No Rain
enter_tr12_Pcp151;2024-05-12 17:32:51;No Rain
enter_tr36_Pcp209;2024-05-12 17:45:44;No Rain
enter_tr3_Pcp342;2024-05-12 19:39:57;Have Rain
enter_tr10_Pcp355;2024-05-14 08:21:37;Have Rain
enter_tr21_Pcp177;2024-05-14 08:55:34;Have Rain
enter_tr30_Pcp182;2024-05-14 08:57:15;Have Rain
enter_tr20_Pcp202;2024-05-14 09:36:57;No Rain
enter_tr49_Pcp487;2024-05-14 09:38:11;No Rain
enter_tr44_Pcp159;2024-05-14 10:08:21;No Rain
enter_tr7_Pcp77;2024-05-14 10:21:18;No Rain
enter_tr40_Pcp100;2024-05-14 10:28:46;No Rain
enter_tr25_Pcp153;2024-05-14 10:30:01;No Rain
enter_tr32_Pcp423;2024-05-14 10:30:11;No Rain
enter_tr4_Pcp252;2024-05-14 10:30:39;No Rain
enter_tr8_Pcp419;2024-05-14 10:34:10;No Rain
enter_tr15_Pcp411;2024-05-14 10:34:52;No Rain
enter_tr35_Pcp142;2024-05-14 10:47:37;No Rain
enter_tr38_Pcp284;2024-05-14 10:49:18;No Rain
enter_tr33_Pcp370;2024-05-14 10:50:07;No Rain
enter_tr11_Pcp408;2024-05-14 10:51:05;No Rain
enter_tr18_Pcp396;2024-05-14 10:51:25;No Rain
enter_tr45_Pcp296;2024-05-14 10:56:49;No Rain
enter_tr29_Pcp117;2024-05-14 11:10:59;No Rain
enter_tr19_Pcp131;2024-05-14 11:13:16;No Rain
